1label,1real,1a,1b,1c,1d,2label,2real,2a,2b,2c,2d,3label,3real,3a,3b,3c,3d,4label,4real,4a,4b,4c,4d,5label,5real,5a,5b,5c,5d
rapper,1,Kanye West,Offset,Dr. Dre,Peter Fox,sculpture,1,Fallen Astronaut,death mask,Moses,Lion man of the Hohlenstein Stadel,BBC 100 Women,0,Alexey Scholarov,Michelle Yeoh,Dmitry Sportsky,racing video game,programmer,1,Bill Gates,Paul G. Allen,Markus Persson,Satoshi Nakamoto,Germans,1,Australia,Germany,Poland,Austria
science fiction television program,1,Obi-Wan Kenobi,Star Trek: Picard,Lost,Westworld,plant,1,fungus,Pimpinella anisum,common sunflower,evergreen plant,city in the United States,0,Mount Everest,Walt Disney,New Orleans,Great Stories,crime television series,1,Dahmer – Monster: The Jeffrey Dahmer Story,The Boys,Fargo,Tatort,war film,1,Apocalypse Now,Expend4bles,War for the Planet of the Apes,War
Turks,1,Turkey,2016 Turkish coup d'état attempt,Turkish diaspora,Bahaeddin Şakir,martial arts film,1,Jack Reacher,The Karate Kid Part II,Brandon Lee,Shang-Chi and the Legend of the Ten Rings,biologist,1,Nell Newman,biology,Paul Ehrlich,Mark Benecke,horror film,0,Alexey Financial,Panda Virusovskaya,Resident Evil: Retribution,motorsport marshal,sports video game,1,AEW Fight Forever,Football Limited,Tony Hawk's Pro Skater 4,Tennis for Two
mystery film,1,Jason Bourne,Scream 4,Memento,Where the Crawdads Sing,historical film,1,The Passion of the Christ,The Northman,Ekaterina,Gladiator,mathematician,1,Arkady Volozh,Ted Kaczynski,Immanuel Kant,Carl Friedrich Gauss,architect,1,Thomas Jefferson,Vyacheslav Butusov,Andrey Makarevich,Jack Nicklaus,sportsperson,0,Montana,Evan Fournier,Anna Bassova,Tropical Rhythm
music genre,1,trap music,oi!,schlager music,grunge,bass guitarist,1,Roger Taylor,George Harrison,Jermaine Jackson,Claus Fischer,biologist,0,Anna Athlete,Johnny Depp,Anne Wojcicki,Mushroom Joker,animal,1,semen,Lama glama,Metazoa,number of the beast,philosopher,1,Fyodor Dostoyevsky,John Paul II,Richard Harris,Marcus Aurelius
painter,1,Andrey Myagkov,Viggo Mortensen,Wilhelm II,George W. Bush,philosopher,0,Bruce Lee,Fantastic Beasts: The Crimes of Grindelwald,Keys to Power,Code Black,animal,1,Eumetazoa,domesticated animal,dinosaur,Bayeux Embroidery,horror literature,1,Neil Gaiman,Stephen King,New Watch,Chuck Palahniuk,children's film,1,Harry Potter and the Order of the Phoenix,Harry Potter and the Prisoner of Azkaban,Fantastic Beasts and Where to Find Them,Emil i Lönneberga
Italians,1,Tarcisio Bertone,Raphael,Caravaggio,Agnelli family,animal,1,Lama glama,domesticated animal,Bayeux Embroidery,dinosaur,computer scientist,1,Alan Turing,Jack Dorsey,Sergey Brin,Pavel Valeryevich Durov,philosopher,0,Fargo,Marcus Aurelius,Tuscany: Land of Passion,Alexey Drummerov,basketball player,1,Kevin Nash,Stephen Curry,Nick Nolte,Glory Johnson
architect,1,Vitaly Kaloyev,Grand Duke Vladimir Alexandrovich of Russia,Farah Pahlavi,Alla Dudayeva,President of the United States,1,Bill Clinton,George W. Bush,Joe Biden,Jimmy Carter,museum of modern art,1,Villa del Balbianello,MAXXI – National Museum of the 21st Century Arts,Gallerie dell'Accademia,Peggy Guggenheim Collection,landscape painter,0,action-adventure game,William Nicholson,Alexey Artists,Alexey Scholarov,war film,1,Dunkirk,Inglourious Basterds,Hotsunlight,Captain America: The First Avenger
war film,1,Wonder Woman,The Hunger Games: Mockingjay – Part 2,All Quiet on the Western Front,Gone with the Wind,President of the United States,1,Ronald Reagan,United States Armed Forces,George H. W. Bush,2020 United States presidential election,museum of modern art,0,Nick Nolte,Actor's Portrait,National Museum of Capodimonte,Kerem Güneş,sculpture,1,Sheela na gig,Capitoline Wolf,Lion man of the Hohlenstein Stadel,Victory Arch,fashion designer,1,Sienna Miller,Aldo Gucci,Kanye West,Hilary Duff
drummer,1,Christoph Schneider,Paul McCartney,Phil Collins,Dave Grohl,children's film,0,Counter-Strike: Global Offensive,Spirited Away,Secret Artifact,Maria Researcher,horror literature,1,Four Past Midnight,The Call of Cthulhu,Gothic literature,Neil Gaiman,pianist,1,Richard Wagner,Flea,Jamie Foxx,Brian May,fashion designer,1,Milla Jovovich,Aldo Gucci,Kim Kardashian,Kourtney Kardashian
actor,1,Jennifer Connelly,Vanessa Paradis,Tom Holland,Ralph Fiennes,single player video game,1,Call of Duty: Modern Warfare,Call of Duty: Vanguard,The Last of Us Part II,Poppy Playtime,Italians,0,Raphael,Alexander Thinker,Vladimir Academicov,Pirates of the Caribbean: On Stranger Tides,multiplayer video game,1,Minecraft,Red Dead Redemption 2,Call of Duty,Call of Duty: Modern Warfare II,Christmas film,1,Batman Returns,National Lampoon's Christmas Vacation,Silver Linings Playbook,Home Alone 2: Lost in New York
computer scientist,1,Mark Zuckerberg,Larry Page,Edward Snowden,Alan Turing,television film,0,Hitler: The Rise of Evil,Fairy Adventures,Code of Centuries,Chris Cornell,spy film,1,Tomorrow Never Dies,xXx,Kingsman: The Secret Service,Operation Fortune: Ruse de guerre,horror film,1,Morbius,Resident Evil: Apocalypse,Prometheus,Glass,mathematician,1,Thomas Edison,Max Born,John Forbes Nash,mathematics
strategy video game,1,X-COM,UFO: Enemy Unknown,"Warhammer 40,000: Dawn of War III",World of Tanks Blitz,economist,1,Mikhail Mishustin,Rinat Akhmetov,Alexander Hamilton,Lutz Graf Schwerin von Krosigk,music genre,1,nu metal,rapping,punk rock,oi!,animated film,1,Frozen II,DC League of Super-Pets,Minions: The Rise of Gru,Turning Red,mystery film,0,Secret Garden Magic,Ivan Champions,Don't Worry Darling,Grimes
biologist,0,Alice Johnson,Secrets of the Lost Ark,foot binding,Richard Dawkins,scientist,1,Zack Snyder,science,Sergei Korolev,Leonhard Euler,spy film,1,Mission: Impossible – Dead Reckoning Part One,Operation Fortune: Ruse de guerre,XXX: State of the Union,The World Is Not Enough,mystery film,1,Scream 4,Enola Holmes 2,Enola Holmes,Death on the Nile,romance film,1,The Little Mermaid,Top Gun,After We Collided,Titanic
crime film,1,Amsterdam,Glass Onion: A Knives Out Mystery,The Gentlemen,Colin Farrell,crime television series,1,The Sopranos,Breaking Bad,Criminal Minds,Brigada,mystery film,1,Blade Runner 2049,Angels & Demons,Get Out,Knives Out,women's rights activist,0,Friedrich Engels,Andrey Coderov,Art Space,Maurizio D'Ancora,guitarist,1,Adam Sandler,Yegor Letov,Sergey Bezrukov,River Phoenix
sports video game,1,Pyre,PainStation,Wii Sports,Mario Strikers: Battle League,philosopher,1,philosophy,Karl Marx,Raisa Gorbacheva,Richard Harris,multiplayer video game,1,Dark Souls III,S.T.A.L.K.E.R.: Shadow of Chernobyl,Elden Ring,Call of Duty: Vanguard,crime television series,0,Kuznetsova,Wednesday,Age of Conquests,Minions: The Rise of Gru,sports video game,1,Tony Hawk's Pro Skater 1 + 2,Mario Strikers: Battle League,Tony Hawk's Pro Skater 2,AEW Fight Forever
horror literature,1,New Watch,Bram Stoker,The Call of Cthulhu,H. P. Lovecraft,basketball player,1,Tom Selleck,Shaquille O'Neal,LeBron James,Glory Johnson,drummer,1,Roger Waters,Ivan Makarevich,Phil Collins,Varg Vikernes,museum of modern art,0,Ivan Creative,Shadow of the Past,Galleria Palatina,bryophyte,architect,1,Yahya Abdul-Mateen II,Farah Pahlavi,Grand Duke Vladimir Alexandrovich of Russia,Andrey Makarevich
spy film,0,Mikhail Dunkerov,Casino Royale,Li Huan,Venus de Milo,Indians,1,Anish Kapoor,king asleep in mountain,Rekhā,Vyasa,landscape painter,1,Frederic Edwin Church,Victor Popkov,Carl Gustav Carus,Joseph Wright of Derby,mathematician,1,Leonardo da Vinci,Carl Friedrich Gauss,Max Born,Albrecht Dürer,Americans,1,Coen brothers,J. K. Simmons,John D. Rockefeller,Citizenship in the United States
actor,1,Maurizio D'Ancora,Stellan Skarsgård,Johnny Depp,Olivia Wilde,African Americans,0,Mount Kilimanjaro,Elena Fighter,Kamala Harris,The Lord of the Rings: The Rings of Power,anime film,1,Nausicaä of the Valley of the Wind,The End of Evangelion,Neon Genesis Evangelion: Death & Rebirth,Demon Slayer: Kimetsu no Yaiba the Movie: Mugen Train,action film,1,The Marvels,No Time to Die,Jurassic World Dominion,Top Gun: Maverick,biologist,1,Maria Vorontsova,biology,Anne Wojcicki,Mark Benecke
mathematician,1,Max Born,Boris Grebenshchikov,Grigori Perelman,Isaac Newton,television film,0,Lost Periods,Hans Frank,Earwig and the Witch,Jamie Foxx,cinematic fairy tale,1,Arabian Nights,Paddington,An Ordinary Miracle,The Little Mermaid,city in the United States,1,Cambridge,Seattle,Cincinnati,Los Angeles,BBC 100 Women,1,Selma Blair,Asha Bhosle,Priyanka Chopra,Rita Moreno
sportsperson,1,Caroline Garcia,sport,motorsport marshal,Roger Lodge,programmer,1,Mark Zuckerberg,Satoshi Nakamoto,Aleksandr Tsoi,application programming interface,political scientist,1,Sergei Khrushchev,Voltaire,Henry Kissinger,Alexander Boroday,mountain,0,Roman Adventures,SingStar,Dmitry Formulary,Aconcagua,3D film,1,Rogue One,Captain America: Civil War,Guardians of the Galaxy Vol. 2,Fantastic Beasts: The Crimes of Grindelwald
sport film,1,The Cannonball Run,Point Break,Jerry Maguire,Winning Time: The Rise of the Lakers Dynasty,architect,1,Alfred Rosenberg,Jack Nicklaus,Kanye West,Alla Dudayeva,philosopher,1,Alexander Hamilton,John Paul II,Karl Marx,Benedict XVI,athlete,1,Polina Iodis,Barry Bonds,Gustav Schwarzenegger,Nikolai Fomenko,guitarist,0,Pavel Maykov,Panda Virusovskaya,Jim Caviezel,Secrets of the Lost Ark
pianist,1,Jon Bon Jovi,Alla Pugacheva,Chris Cornell,Jared Leto,economist,1,Joseph P. Kennedy Sr.,Lutz Graf Schwerin von Krosigk,Viktor Yanukovych,Rinat Akhmetov,BBC 100 Women,1,Bella Thorne,Jameela Jamil,Hilary Swank,Jane Fonda,romance film,0,Journey to the Third Dimension,Hacksaw Ridge,Agent's Shadow,Tupac Shakur,Germans,1,Germany,Ludwig van Beethoven,German,Australia
sports video game,1,Tony Hawk's Pro Skater 2,Football Limited,Tony Hawk's Pro Skater 1 + 2,AEW Fight Forever,Russians,0,Ivan Ponderer,Secrets of Hidden Truths,Russia,Avatar: The Way of Water,rapper,1,Tupac Shakur,Joaquin Phoenix,H.P. Baxxter,Offset,stand up comedian,1,Garik Martirosyan,Leonid Yarmolnik,Kumail Nanjiani,Brett Goldstein,bass guitarist,1,Flea,Roger Taylor,George Harrison,Paul Landers
architect,1,Vyacheslav Butusov,Grand Duke Vladimir Alexandrovich of Russia,Michelangelo,Alla Dudayeva,drummer,1,Roger Taylor,Valeria Kozlova,Bela B,Varg Vikernes,programmer,0,Justice League,Bill Gates,Secret Artifact,Operation Transparency,city in the United States,1,Miami,Atlanta,Seattle,Houston,stand up comedian,1,Jemaine Clement,Brett Goldstein,Chelsea Peretti,Kumail Nanjiani
music video game,1,Michael Jackson: The Experience,Hatsune Miku: Project DIVA,Just Dance 2022,osu!,basketball player,1,Juan Hernangómez,Kobe Bryant,Mahershala Ali,Larry Bird,fashion designer,1,Kylie Jenner,Kanye West,Aldo Gucci,Kim Kardashian,philosopher,1,Mahatma Gandhi,Fyodor Dostoyevsky,Karl Marx,Thomas Jefferson,historical film,0,Elena Architecturova,Rises of Innovations,The Passion of the Christ,Edward Scissorhands
Germans,0,Neon Genesis Evangelion: Death & Rebirth,Magical Menagerie,Alice Johnson,Poland,multiplayer video game,1,S.T.A.L.K.E.R.: Shadow of Chernobyl,Call of Duty: Vanguard,Elden Ring,Assassin's Creed IV: Black Flag,political scientist,1,Michael D. Higgins,Helmut Kohl,Woodrow Wilson,Benjamin Netanyahu,sculpture,1,Bacchus,terracotta,Victory Arch,Venus of Willendorf,BBC 100 Women,1,Sviatlana Tsikhanouskaya,Sanna Marin,Selma Blair,Asha Bhosle
single player video game,1,Call of Duty,Call of Duty: Vanguard,Elden Ring,Call of Duty 4: Modern Warfare,science fiction television program,1,Dark,Star Trek: The Original Series,Obi-Wan Kenobi,Ahsoka,economist,1,Leonid Kravchuk,Mikhail Mishustin,Rinat Akhmetov,Petro Poroshenko,spy film,1,xXx Return of Xander Cage,Quantum of Solace,Tomorrow Never Dies,XXX: State of the Union,war film,0,Game of Giants,Alla Dudayeva,Path to Victory,Apocalypse Now
children's film,1,Spirited Away,Home Alone,Harry Potter and the Philosopher's Stone,Toy Story 4,music genre,1,alternative rock,rock music,punk rock,hip hop music,crime television series,1,Breaking Bad,Chikatilo,The Sopranos,Law & Order: Special Victims Unit,pianist,1,Taylor Swift,Flea,John Lennon,Brian May,action film,0,Anatoly Architect,Robin Williams,Avatar: The Way of Water,Dmitry Sportsky
Internet meme,1,revenge porn,Rickrolling,Floppa,Will Smith–Chris Rock slapping incident,comedy television series,1,Only Murders in the Building,Star Trek: Lower Decks,The Fall Guy,Supernatural,anime film,0,Operation Lightning,Myanmar,Alexey Constructor,The Wind Rises,music video game,1,Michael Jackson: The Experience,Just Dance 2022,Just Dance 2021,Space Channel 5,music genre,1,post-punk,hip hop music,psychedelic rock,Neue Deutsche Welle
basketball player,1,Larry Bird,Brittney Griner,Michael Jordan,Dirk Nowitzki,economist,0,Johnny Depp,Virtuoso Chords,Leonid Kravchuk,Priyanka Reddy,sports video game,1,FIFA 23,Tony Hawk's Pro Skater 4,PainStation,Mario Strikers: Battle League,U.S. state,1,New York,Alaska,Florida,Missouri,Christmas film,1,National Lampoon's Christmas Vacation,Love Actually,Batman Returns,Home Alone 4
animated film,0,Neighbours from Hell 2: On Vacation,Los Chicagos,Clancy Brown,Eternal Love,jazz musician,1,Woody Allen,Dean Martin,Emin Agalarov,Viggo Mortensen,spy film,1,Die Another Day,Casino Royale,Operation Fortune: Ruse de guerre,Tenet,BBC 100 Women,1,Jameela Jamil,Michelle Yeoh,Billie Eilish,Ursula von der Leyen,action game,1,Death Stranding,Bayonetta,S.T.A.L.K.E.R. 2: Heart of Chornobyl,Dota 2
animal,0,Sweet Holidays,Glory Johnson,domesticated animal,Chronicles of Darkness,architect,1,Leonardo da Vinci,Kanye West,"Prince Richard, Duke of Gloucester",Thomas Jefferson,spy film,1,XXX: State of the Union,No Time to Die,Mission: Impossible – Dead Reckoning Part One,Kingsman: The Golden Circle,athlete,1,Gustav Schwarzenegger,Polina Iodis,Ronda Rousey,Oleg Taktarov,Internet meme,1,Will Smith–Chris Rock slapping incident,@world_record_egg,Doge,Rickrolling
Indians,1,Myanmar,vagina dentata,Anglo-Indian people,Native Americans in the United States,action film,1,Eternals,Black Panther: Wakanda Forever,Top Gun,Jurassic World Dominion,Internet meme,0,Illusions in Three Dimensions,Doge,Panda Virusovskaya,Lars Ulrich,horror film,1,Resident Evil: Retribution,The Silence of the Lambs,Halloween Kills,Sony's Spider-Man Universe,pianist,1,John Lennon,Jon Bon Jovi,Lenny Kravitz,Paul McCartney
Chinese people,1,Myanmar,foot binding,Indonesia,Cambodia,women's rights activist,1,Virginia Woolf,Gloria Steinem,Clara Zetkin,Linda Lovelace,economist,0,Petro Poroshenko,Call of Duty: Modern Warfare 3,Texas,Eva Glamorous,strategy video game,1,Sid Meier's Pirates!,Mount & Blade II: Bannerlord,"Warhammer 40,000: Dawn of War III",Clash Royale,tennis player,1,Anna Kournikova,Alexander Zverev,Andre Agassi,Venus Williams
Internet meme,1,Chuck Norris facts,Pepe the Frog,shock site,Floppa,English people,1,Angel Coulby,Clint Eastwood,Australia,Lucian Freud,bass guitarist,1,Paul McCartney,Bella Thorne,Flea,Natalia Chumakova,computer scientist,0,Friedrich Bayer,Labyrinths of Crime,Jeff Bezos,Scream,economist,1,Helmut Schmidt,Oleksandr Turchynov,Sergey Shoygu,Jens Stoltenberg
action game,1,action-adventure game,Ratchet & Clank: Rift Apart,Dota 2,Return to Castle Wolfenstein,landscape painter,1,John Constable,J. M. W. Turner,Victor Popkov,William Nicholson,economist,1,Oleksandr Turchynov,Viktor Yanukovych,Petro Poroshenko,Yulia Tymoshenko,historical film,0,Thomas Brodie-Sangster,David Stringer,Eugen Rochko,Flower Inspiration,multiplayer video game,1,Uncharted 4: A Thief's End,The Last of Us,Call of Duty 4: Modern Warfare,Call of Duty: Vanguard
fashion designer,1,Kourtney Kardashian,Kylie Jenner,Hilary Duff,Guccio Gucci,city in the United States,0,Max Born,Mount Elbrus,Houston,Maxim Engineers,animated film,1,Walt Disney Animation Studios,Kvartal 95,The Addams Family,Spider-Man: Into the Spider-Verse,mathematician,1,Lee Hsien Loong,Joan Clarke,John Forbes Nash,Immanuel Kant,anime film,1,Demon Slayer: Kimetsu no Yaiba the Movie: Mugen Train,Ghost in the Shell,Evangelion: 3.0+1.0 Thrice Upon a Time,Howl's Moving Castle
computer scientist,1,Daniel Ek,Mark Zuckerberg,Arkady Volozh,Jeff Bezos,mathematician,1,Ted Kaczynski,Albrecht Dürer,Carl Friedrich Gauss,Arkady Volozh,horror film,1,Halloween Kills,The Addams Family,Hannibal,Halloween Ends,bass guitarist,1,Sid Vicious,George Harrison,Paul Landers,Claus Fischer,strategy video game,0,Sid Meier's Pirates!,Code Assignment,Natalia Programmerova,Satoshi Nakamoto
tennis player,1,Serena Williams,Rafael Nadal,Andy Murray,Venus Williams,scientist,1,The Doctor,Valentina Tazekenova,Leonardo da Vinci,Leonhard Euler,pianist,1,David Bowie,Freddie Mercury,Sergey Kuznetsov,Paul McCartney,sculpture,0,Venus of Willendorf,Network Adventure,Chikatilo,Secret Games,science fiction television program,1,Star Trek: The Next Generation,Twin Peaks,Obi-Wan Kenobi,Star Trek: The Original Series
drama television series,1,Game of Thrones,Breaking Bad,Silver Spoon,The Walking Dead,biologist,1,Gottfried Wilhelm Leibniz,biology,Dian Fossey,Vladimir Ivanovich Vernadsky,anime film,0,Spirited Away,Freddie Mercury,Vladimir Workshop,Anna Basketballova,science fiction television program,1,Doctor Who,Obi-Wan Kenobi,Marvel Cinematic Universe,Star Trek: Discovery,Turks,1,Turks in Germany,Turkish,Bahaeddin Şakir,2016 Turkish coup d'état attempt
pianist,1,Jared Leto,Paul McCartney,Alla Pugacheva,Freddie Mercury,biologist,1,Nikolai Vavilov,Vladimir Ivanovich Vernadsky,Mark Benecke,Katherine Oppenheimer,African Americans,1,Confederate States,Michael Jackson,Jada Pinkett Smith,Barack Obama,painter,1,Maria Feodorovna (Dagmar of Denmark),Paul McCartney,Freddie Mercury,Alexandra Feodorovna (Alix of Hesse),bass guitarist,0,Jermaine Jackson,Sweet Holidays,Magical Fantasy,Citizenship in the United States
sport film,1,Space Jam: A New Legacy,Champion of the World,Fighting with My Family,Chariots of Fire,multiplayer video game,0,Steel Hearts,Mask of Mystery,Dark Souls III,oi!,plant,1,flora,perennial plant,fungus,useful plant,scientist,1,Lionel Logue,"Frankenstein; or, The Modern Prometheus",Galileo Galilei,Operation Paperclip,plant,1,useful plant,common sunflower,Tracheophyta,flora
drummer,1,Valeria Kozlova,Lars Ulrich,Ivan Makarevich,Dave Grohl,U.S. state,1,California,Alaska,Hawaii,Missouri,television film,1,The Hound of the Baskervilles,Werewolf by Night,Die Wannseekonferenz,Sherlock Holmes and Dr. Watson,Christmas film,1,National Lampoon's Christmas Vacation,Shazam!,Edward Scissorhands,Eyes Wide Shut,biologist,0,Lizard,Roses and Romance,Elena Landscapeva,Downfall
actor,1,Donald Trump,Zendaya,Zoë Kravitz,Tom Holland,sport film,1,The Queen's Gambit,Hustle,Days of Thunder,King Richard,Russians,1,East Slavs,Denis Pushilin,Rus' people,Russian,computer scientist,0,Sudha Murthy,Network Adventure,Resident Evil Village,Art Space,comedy television series,1,Star Trek: Lower Decks,The Fall Guy,Big Little Lies,Peacemaker
